Co,Cr,Fe,Ni,Mo,Al,Mn,V,Cu,Ti,W,HV
22.2,22.2,22.2,22.2,11.1,0,0,0,0,0,0,220
20,20,20,20,10,10,0,0,0,0,0,440
10,20,20,20,10,20,0,0,0,0,0,801
20,20,10,20,10,20,0,0,0,0,0,755
19.6,19.6,11.8,19.6,9.8,19.6,0,0,0,0,0,754
20,20,20,10,10,20,0,0,0,0,0,708
16.7,16.7,16.7,25,8.3,16.7,0,0,0,0,0,586
15.4,15.4,15.4,30.8,7.7,15.4,0,0,0,0,0,395
25,16.7,16.7,16.7,8.3,16.7,0,0,0,0,0,741
30.8,15.4,15.4,15.4,7.7,15.4,0,0,0,0,0,586
16.7,16.7,25,16.7,8.3,16.7,0,0,0,0,0,635
15.4,15.4,30.8,15.4,7.7,15.4,0,0,0,0,0,639
16.7,16.7,16.7,16.7,8.3,25,0,0,0,0,0,665
15.4,15.4,15.4,15.4,7.7,30.8,0,0,0,0,0,615
19,19,19,19,0,0,19,4.8,0,0,0,151
18.2,18.2,18.2,18.2,0,0,18.2,9.1,0,0,0,186
17.4,17.4,17.4,17.4,0,0,17.4,13,0,0,0,342
16.7,16.7,16.7,16.7,0,0,16.7,16.7,0,0,0,650
19.6,19.6,19.6,19.6,0,2,19.6,0,0,0,0,180
19.2,19.2,19.2,19.2,0,3.8,19.2,0,0,0,0,171
18.6,18.6,18.6,18.6,0,7.1,18.6,0,0,0,0,182
18.4,18.4,18.4,18.4,0,7.9,18.4,0,0,0,0,183
18.2,18.2,18.2,18.2,0,8.9,18.2,0,0,0,0,220
18,18,18,18,0,10.1,18,0,0,0,0,278
17.8,17.8,17.8,17.8,0,11,17.8,0,0,0,0,405
17.6,17.6,17.6,17.6,0,12,17.6,0,0,0,0,486
17.4,17.4,17.4,17.4,0,13,17.4,0,0,0,0,530
17.2,17.2,17.2,17.2,0,13.9,17.2,0,0,0,0,539
17,17,17,17,0,15,17,0,0,0,0,533
16.8,16.8,16.8,16.8,0,16,16.8,0,0,0,0,535
16,16,16,16,0,20,16,0,0,0,0,539
0,22.2,33.3,11.1,0,11.1,22.2,0,0,0,0,396
0,23.3,34.9,11.6,0,7,23.3,0,0,0,0,297
22.2,22.2,22.2,0,11.1,22.2,0,0,0,0,0,857
0,23.8,23.8,23.8,4.8,23.8,0,0,0,0,0,549
0,22.2,22.2,22.2,11.1,22.2,0,0,0,0,0,622
0,20.8,20.8,20.8,16.7,20.8,0,0,0,0,0,854
0,20,20,20,20,20,0,0,0,0,0,905
25,25,25,0,0,0,0,0,25,0,0,134
23.3,23.3,23.3,0,0,7,0,0,23.3,0,0,180
22.2,22.2,22.2,0,0,11.1,0,0,22.2,0,0,207
20.8,20.8,20.8,0,0,16.7,0,0,20.8,0,0,271
18.9,18.9,18.9,0,0,24.5,0,0,18.9,0,0,476
18.2,18.2,18.2,0,0,27.3,0,0,18.2,0,0,510
17.2,17.2,17.2,0,0,31,0,0,17.2,0,0,557
16.7,16.7,16.7,0,0,33.3,0,0,16.7,0,0,567
15.9,15.9,15.9,0,0,36.5,0,0,15.9,0,0,603
15.4,15.4,15.4,0,0,38.5,0,0,15.4,0,0,624
14.7,14.7,14.7,0,0,41.2,0,0,14.7,0,0,657
14.3,14.3,14.3,0,0,42.9,0,0,14.3,0,0,644
22.2,22.2,22.2,22.2,0,0,0,0,11.1,0,0,172
17.5,17.5,17.5,17.5,0,8.8,0,0,17.5,3.5,0,272
16.9,16.9,16.9,16.9,0,8.5,0,0,16.9,6.8,0,321
16.4,16.4,16.4,16.4,0,8.2,0,0,16.4,9.8,0,458
15.9,15.9,15.9,15.9,0,7.9,0,0,15.9,12.7,0,590
15.4,15.4,15.4,15.4,0,7.7,0,0,15.4,15.4,0,636
14.9,14.9,14.9,14.9,0,7.5,0,0,14.9,17.9,0,646
14.5,14.5,14.5,14.5,0,7.2,0,0,14.5,20.3,0,664
14.1,14.1,14.1,14.1,0,7,0,0,14.1,22.5,0,657