Cr_EV,1/T,ln(t),DO,weightgain
19.5261,0.001485553,3.688879454,8,3.526360525
19.5261,0.001485553,6.363028104,8,3.761200116
19.5261,0.001485553,5.541263545,8,3.496507561
19.5261,0.001485553,6.214608098,8,3.737669618
19.5261,0.00129341,6.214608098,8,5.247024072
19.5261,0.00129341,6.214608098,8,5.313205979
19.5261,0.00129341,6.620073207,8,5.484796933
19.5261,0.00129341,6.214608098,8,5.267858159
19.5261,0.00129341,6.214608098,8,5.288267031
19.5261,0.00129341,6.606650186,8,5.278114659
18.26,0.001485553,3.688879454,8,3.912023005
18.26,0.001485553,4.605170186,8,4.043226691
18.26,0.001485553,5.298317367,8,4.094344562
18.26,0.001485553,5.703782475,8,4.110873864
18.26,0.001485553,5.991464547,8,4.158883083
18.26,0.001485553,6.214608098,8,4.234106505
18.26,0.001382839,3.401197382,8,4.248495242
18.26,0.001382839,4.605170186,8,4.788324729
18.26,0.001382839,5.298317367,8,4.976733742
18.26,0.001382839,5.703782475,8,5.081404365
18.26,0.001382839,5.991464547,8,5.204116571
18.26,0.001382839,6.214608098,8,5.347583608
18.26,0.00129341,3.912023005,8,5.192956851
18.26,0.00129341,4.605170186,8,5.164785974
18.26,0.00129341,5.010635294,8,5.298317367
18.26,0.00129341,5.298317367,8,5.348059458
18.26,0.00129341,5.598421959,8,5.438079309
18.26,0.00129341,5.940171253,8,5.521460918
18.26,0.00129341,6.214608098,8,5.481055503
18.26,0.001214845,3.912023005,8,5.075173815
18.26,0.001214845,4.605170186,8,5.645446898
18.26,0.001214845,5.298317367,8,6.042632834
18.26,0.001214845,5.736572297,8,6.216606101
18.26,0.001214845,5.991464547,8,6.289715571
18.26,0.001214845,6.214608098,8,6.336825731
18.5612,0.001214845,4.700480366,0,4.789157022
18.5612,0.001214845,6.131226489,0,5.257495372
18.5612,0.001214845,6.396929655,0,5.323058758
18.5612,0.001214845,6.65929392,0,5.429345629
18.5612,0.001214845,6.907755279,0,5.484801083
18.5612,0.001214845,5.298317367,100,5.198552278
18.5612,0.001214845,5.991464547,100,5.424950017
18.5612,0.001214845,6.396929655,100,5.599162426
18.5612,0.001214845,6.684611728,100,5.60583883
18.5612,0.001214845,6.907755279,100,5.687314282
18.5612,0.001214845,5.298317367,300,5.323107535
18.5612,0.001214845,5.991464547,300,5.48147191
18.5612,0.001214845,6.396929655,300,5.760477818
18.5612,0.001214845,6.684611728,300,5.811140993
18.5612,0.001214845,6.907755279,300,5.799698531
18.5612,0.001214845,5.298317367,2000,5.602118821
18.5612,0.001214845,5.991464547,2000,5.765191103
18.5612,0.001214845,6.396929655,2000,5.865050622
18.5612,0.001214845,6.684611728,2000,5.899897354
18.5612,0.001214845,6.907755279,2000,5.996452089
25.605,0.001214845,4.605170186,10,4.774068722
25.605,0.001214845,5.703782475,10,5.273512248
25.605,0.001214845,6.396929655,10,5.351858133
25.605,0.001214845,6.907755279,10,5.458308103
25.605,0.001214845,7.313220387,10,5.540478924
25.605,0.001145279,4.605170186,10,5.860786223
25.605,0.001145279,5.703782475,10,6.214808078
25.605,0.001145279,6.396929655,10,6.458495011
25.605,0.001145279,6.907755279,10,6.614323375
25.605,0.001145279,7.313220387,10,6.660703183
25.605,0.001083248,6.396929655,10,4.862985659
25.605,0.001083248,6.907755279,10,4.915298447
25.605,0.001083248,7.313220387,10,4.99653637
20.4508,0.00129341,6.224558429,25,5.231108617
20.4508,0.00129341,5.80814249,25,5.153291594
20.4508,0.00129341,5.147494477,25,4.789988623
20.4508,0.00129341,6.22059017,2,5.093750201
20.4508,0.00129341,5.814130532,2,5.198607522
20.4508,0.00129341,5.123963979,2,4.770684624
20.628,0.001083248,6.214608098,2000,6.706862337
22.772,0.00129341,5.857933154,10,4.795873187
22.772,0.00129341,6.522092798,10,5.017279837
22.772,0.00129341,6.907755279,10,5.209486153
22.772,0.00129341,7.170119543,10,5.252273428
22.772,0.00129341,7.60090246,10,5.605875593
18.688,0.00129341,5.857933154,10,4.804103009
18.688,0.00129341,6.522092798,10,5.017279837
18.688,0.00129341,6.907755279,10,5.308317201
18.688,0.00129341,7.170119543,10,5.446737372
18.688,0.00129341,7.60090246,10,5.638354669
22.772,0.001485553,3.401197382,25,2.878231366
22.772,0.001485553,5.768320996,25,3.016386472
22.772,0.001485553,5.991464547,25,3.246644981
22.772,0.00129341,3.401197382,25,4.674247739
22.772,0.00129341,5.768320996,25,5.134764757
22.772,0.00129341,6.445719819,25,5.180816459
22.772,0.001145279,5.768320996,25,6.309083155
22.772,0.001145279,6.445719819,25,6.401186559
22.772,0.001145279,6.907755279,25,6.470814984
18.688,0.00129341,3.401197382,25,4.858454546
18.688,0.00129341,5.768320996,25,5.157790608
18.688,0.00129341,6.445719819,25,5.204061631
18.688,0.001145279,5.768320996,25,6.470830463
18.688,0.001145279,6.445719819,25,6.723548472
30.516,0.00129341,5.123963979,2000,4.94875989
30.516,0.00129341,5.814130532,2000,5.308366702
30.516,0.00129341,6.22059017,2000,5.407171771
30.516,0.00129341,5.147494477,25,4.276666119
30.516,0.00129341,5.80814249,25,4.795955821
30.516,0.00129341,6.224558429,25,4.804184966
30.516,0.00129341,5.147494477,25,4.043051268
30.516,0.00129341,5.80814249,25,4.919980926
30.516,0.00129341,6.224558429,25,4.9698133
20.895,0.00129341,5.298317367,0,4.859812404
20.895,0.00129341,5.991464547,0,5.087596335
20.895,0.00129341,6.396929655,0,5.198497031
20.895,0.00129341,6.684611728,0,5.288267031
20.895,0.00129341,6.907755279,0,5.332718793
18.145,0.00129341,5.298317367,0,4.875197323
18.145,0.00129341,5.991464547,0,5.141663557
18.145,0.00129341,6.396929655,0,5.241747015
18.145,0.00129341,6.684611728,0,5.308267697
18.145,0.00129341,6.907755279,0,5.365976015
12.072,0.001083248,5.298317367,0,6.234410726
12.072,0.001083248,5.991464547,0,6.336825731
12.072,0.001083248,6.396929655,0,6.398594935
12.072,0.001083248,6.684611728,0,6.381816017
12.072,0.001083248,6.907755279,0,6.421622268
18.26,0.001485553,3.688879454,0,2.079441542
18.26,0.001485553,4.605170186,0,2.397895273
18.26,0.001485553,5.298317367,0,2.708050201
18.26,0.001485553,5.703782475,0,2.833213344
18.26,0.001485553,5.991464547,0,2.772588722
18.26,0.001485553,6.214608098,0,2.944438979
14.23,0.00129341,4.605170186,8000,5.177279038
14.23,0.00129341,5.521460918,8000,5.809042985
14.23,0.00129341,6.214608098,8000,6.079704336
14.23,0.00129341,6.907755279,8000,6.303168275
13.73,0.00129341,4.605170186,8000,5.206202078
13.73,0.00129341,5.521460918,8000,5.921310287
13.73,0.00129341,6.214608098,8000,6.291383937
13.73,0.00129341,6.907755279,8000,6.430203232
15.49,0.00129341,4.605170186,8000,5.067015628
15.49,0.00129341,5.521460918,8000,5.832761856
15.49,0.00129341,6.214608098,8000,6.160996329
15.49,0.00129341,6.907755279,8000,6.345811784
21.66,0.00129341,4.605170186,8000,4.864452784
21.66,0.00129341,5.521460918,8000,5.691709893
21.66,0.00129341,6.214608098,8000,6.017375929
21.66,0.00129341,6.907755279,8000,6.258624984
12.84,0.00129341,4.605170186,8000,5.191845122
12.84,0.00129341,5.521460918,8000,5.969730055
12.84,0.00129341,6.214608098,8000,6.193792959
12.84,0.00129341,6.907755279,8000,6.455355784
18.5612,0.001145279,5.298317367,8000,6.433422292
18.5612,0.001145279,5.991464547,8000,6.7310181
18.5612,0.001145279,6.396929655,8000,6.89060912
18.5612,0.001145279,6.684611728,8000,6.979982913
18.5612,0.001145279,6.907755279,8000,7.077076024
18.5612,0.001083248,5.298317367,8000,7.094898526
18.5612,0.001083248,5.991464547,8000,7.296074228
18.5612,0.001083248,6.396929655,8000,7.367708572
18.5612,0.001083248,6.684611728,8000,7.455356321
18.5612,0.001083248,6.907755279,8000,7.535883823
18.5612,0.001027591,5.298317367,8000,7.165570752
18.5612,0.001027591,5.991464547,8000,7.491478142
14.178,0.001214845,5.298317367,200,5.711396746
14.178,0.001214845,5.991464547,200,5.988625521
14.178,0.001214845,6.396929655,200,6.135053938
14.178,0.001214845,6.684611728,200,6.255565764
14.178,0.001214845,6.907755279,200,6.39486085
25.58,0.001214845,5.298317367,200,5.475031565
25.58,0.001214845,5.991464547,200,5.745522448
25.58,0.001214845,6.396929655,200,5.867020312
25.58,0.001214845,6.684611728,200,5.994263127
25.58,0.001214845,6.907755279,200,6.13179372
20.724,0.001145279,4.605170186,10,5.774551546
20.724,0.001145279,5.703782475,10,6.289715571
20.724,0.001145279,6.396929655,10,6.543911846
20.724,0.001145279,6.907755279,10,6.728628613
20.724,0.001145279,7.313220387,10,6.900730664
18.688,0.001145279,6.907755279,25,7.230117192
22.772,0.001083248,6.214608098,2000,7.229846025